"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=syngnathidae&taxon_reso=family"
"Access Time","Fri 2017-02-03 18:19:58 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","syngnathidae"
"","idreso","family"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00317"
"Records Found","10"
"Records Returned","10"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"545073","occ","","","57058","Hippocampus sp.","genus","35862","","Hippocampus","genus","35862","Piacenzian","Gelasian","3.6","1.806","15407"
"894709","occ","","","99160","Syngnathidae indet.","family","266105","","Syngnathidae","family","266105","Aquitanian","","23.03","20.44","34102"
"1139771","occ","","","103103","Hippocampus n. sp. sarmaticus","species","269391","","Hippocampus sarmaticus","species","269391","Sarmatian","","12.7","11.608","46978"
"1139772","occ","","","103103","Hippocampus n. sp. slovenicus","species","269392","","Hippocampus slovenicus","species","269392","Sarmatian","","12.7","11.608","46978"
"1144386","occ","","","57058","Hippocampus rammulosus","species","35862","species not entered","Hippocampus","genus","35862","Piacenzian","Gelasian","3.6","1.806","47116"
"1144388","occ","","","57058","Syngnathidae indet.","family","266105","","Syngnathidae","family","266105","Piacenzian","Gelasian","3.6","1.806","47116"
"1144434","occ","","","145678","Hippocampus sp.","genus","35862","","Hippocampus","genus","35862","Zanclean","Piacenzian","5.333","2.588","47116"
"1144436","occ","","","145678","Syngnathidae indet.","family","266105","","Syngnathidae","family","266105","Zanclean","Piacenzian","5.333","2.588","47116"
"1144476","occ","","","145683","Hippocampus ramulosus","species","35862","species not entered","Hippocampus","genus","35862","Piacenzian","","3.6","2.588","47116"
"1197504","occ","","","22712","Syngnathidae indet.","family","266105","","Syngnathidae","family","266105","Piacenzian","","3.6","2.588","50409"
